2019-04-20 16:01:07 ===== Starting: rave =====
2019-04-20 16:01:10 Run
2019-04-20 16:01:10 id = 5 (local); Seed = 0; Starting new sample
2019-04-20 16:01:10 id = 4 (local); Seed = 1; Starting new sample
2019-04-20 16:01:10 id = 3 (local); Seed = 2; Starting new sample
2019-04-20 16:01:10 id = 2 (local); Seed = 3; Starting new sample
2019-04-20 16:01:10 id = 1 (local); Seed = 4; Starting new sample
2019-04-20 16:01:10 id = 0 (local); Seed = 5; Starting new sample
2019-04-20 16:02:40 id = 5 (local); Seed = 0; Done (0)
2019-04-20 16:02:40 id = 5 (local); Seed = 6; Starting new sample
2019-04-20 16:02:42 id = 4 (local); Seed = 1; Done (1)
2019-04-20 16:02:42 id = 4 (local); Seed = 7; Starting new sample
2019-04-20 16:02:47 id = 1 (local); Seed = 4; Done (1)
2019-04-20 16:02:47 id = 1 (local); Seed = 8; Starting new sample
2019-04-20 16:02:49 id = 0 (local); Seed = 5; Done (0)
2019-04-20 16:02:49 id = 0 (local); Seed = 9; Starting new sample
2019-04-20 16:02:52 id = 3 (local); Seed = 2; Done (0)
2019-04-20 16:02:52 id = 3 (local); Seed = 10; Starting new sample
2019-04-20 16:02:52 id = 2 (local); Seed = 3; Done (1)
2019-04-20 16:02:52 id = 2 (local); Seed = 11; Starting new sample
2019-04-20 16:04:11 id = 0 (local); Seed = 9; Done (1)
2019-04-20 16:04:11 id = 0 (local); Seed = 12; Starting new sample
2019-04-20 16:04:13 id = 1 (local); Seed = 8; Done (1)
2019-04-20 16:04:13 id = 1 (local); Seed = 13; Starting new sample
2019-04-20 16:04:22 id = 5 (local); Seed = 6; Done (1)
2019-04-20 16:04:22 id = 5 (local); Seed = 14; Starting new sample
2019-04-20 16:04:24 id = 4 (local); Seed = 7; Done (0)
2019-04-20 16:04:24 id = 4 (local); Seed = 15; Starting new sample
2019-04-20 16:04:34 id = 3 (local); Seed = 10; Done (0)
2019-04-20 16:04:34 id = 3 (local); Seed = 16; Starting new sample
2019-04-20 16:04:34 id = 2 (local); Seed = 11; Done (1)
2019-04-20 16:04:34 id = 2 (local); Seed = 17; Starting new sample
2019-04-20 16:05:31 id = 0 (local); Seed = 12; Done (0)
2019-04-20 16:05:31 id = 0 (local); Seed = 18; Starting new sample
2019-04-20 16:05:52 id = 1 (local); Seed = 13; Done (0)
